,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,coverage,employmentstatus,location_code,vehicle_size,state_California,state_Nevada,state_Oregon,state_Washington,response_Yes,education_College,education_Doctor,education_High School or Below,education_Master,gender_M,marital_status_Married,marital_status_Single,policy_type_Personal Auto,policy_type_Special Auto,policy_Corporate L2,policy_Corporate L3,policy_Personal L1,policy_Personal L2,policy_Personal L3,policy_Special L1,policy_Special L2,policy_Special L3,renew_offer_type_Offer2,renew_offer_type_Offer3,renew_offer_type_Offer4,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,effective_to_date,month,week,day
0,0.04904798144627812,0.9987721558094674,0.0012246379989134103,0.0005679480574670889,8.874188397923264e-05,0.0,1.7748376795846528e-05,0.006829773232197887,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011-02-24,2,8,24
1,0.25547779347412847,0.9667469743168587,0.0021409697792814965,0.0003568282965469161,0.0007533041815990452,0.0,3.96475885052129e-05,0.011229629274339662,2,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011-02-19,2,7,19
2,0.9974727306905442,0.0,0.013828671227071298,0.00234826492535173,0.008479845563770136,0.0,0.0009132141376367838,0.06912787637296858,0,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2011-01-20,1,3,20
3,0.06405454464627577,0.9979395204943968,0.0016618666163904319,0.0002731835533792491,0.0010016730290572466,0.0,2.276529611493742e-05,0.003144590363051591,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-02-03,2,5,3
4,0.1301396302546123,0.9914907650588406,0.0010876102952061938,0.00022067455265053208,0.0014816719963678582,0.0,3.1524936092933154e-05,0.00251227010667364,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2011-01-25,1,4,25
5,0.9985950001571976,0.0,0.013976814438420708,0.0,0.00941013249319414,0.0,0.0005535372054820082,0.05023760864355692,2,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-18,1,3,18
6,0.24836398937474954,0.9685558712226526,0.0031263256984487954,0.000571478891114296,0.00023531483751765126,0.0,0.00026893124287731573,0.014304716159564012,1,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2011-02-17,2,7,17
7,0.994748198620588,0.0,0.014063777486473134,0.004827863913266896,0.0010495356333188905,0.0,0.0006297213799913344,0.10125919790260655,0,1,2,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011-02-21,2,8,21
8,0.9977810863101931,0.0,0.01338944500781725,0.0032865001382824163,0.010589833778910008,0.0,0.00036516668203137955,0.0642693360375228,0,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2011-01-06,1,1,6
9,0.11349115816124432,0.9935187668890927,0.0014188334375120116,0.00011608637216007367,0.0010576758352362269,2.5796971591127483e-05,3.8695457386691226e-05,0.006088468857778188,2,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011-02-06,2,5,6
10,0.08798327066445048,0.9961073590197668,0.0010974190945182466,0.0002294603561265425,0.0002494134305723288,9.976537222893152e-06,7.981229778314522e-05,0.005267611653687584,0,0,2,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2011-01-10,1,2,10
